Sl No.,Part No.:,Aruco ID:,Class Name:,Class Id:,Empty Tray R:,Empty Tray C:,Filling Tray R:,Filling Tray C:
1,104.01.25.012,1,blade_hpcr012,,6,9,5,8
2,104.01.25.022,2,blade_hpcr022,,6,9,5,8
3,104.01.25.032,3,blade_hpcr032,,6,9,5,8
4,104.01.25.042,4,blade_hpcr042,,6,9,5,8
5,104.01.25.052,5,blade_hpcr052,,6,9,5,8
6,104.01.25.062,6,blade_hpcr062,,6,9,5,8
7,104.01.25.072,7,blade_hpcr072,,6,9,5,8
8,104.01.25.082,8,blade_hpcr082,,6,9,5,8
9,104.01.25.092,9,blade_hpcr092,,6,9,5,8
10,104.01.22.001,10,blade_hpcs001,,6,9,5,8
11,104.01.22.002,11,blade_hpcs002,,6,9,5,8
12,104.01.22.003,12,blade_hpcs003,,6,9,5,8
13,104.01.22.004,13,blade_hpcs004,,6,9,5,8
14,104.01.22.005,14,blade_hpcs005,,6,9,5,8
15,104.01.22.006,15,blade_hpcs006,,6,9,5,8
16,104.01.22.007,16,blade_hpcs007,,6,9,5,8
17,104.01.22.008,18,blade_hpcs008,,6,9,5,8
18,104.01.22.009,19,blade_hpcs009,,6,9,5,8
19,104.01.22.011,20,blade_hpcs011,,6,9,5,8
20,104.01.35.012,21,blade_lpcr35012,,3,6,3,4
21,104.01.35.022,22,blade_lpcr35022,,4,6,3,5
22,104.01.35.032,23,blade_lpcr35032,,5,7,4,6
23,104.01.35.046,24,blade_lpcr35046,,5,7,4,7
29,104.04.02.020,30,blade_hptr020,,5,7,4,7
30,104.04.22.050,31,blade_lptr050,,5,7,4,7
